horizon,rmse,mae
317 days,11126.556885859534,8515.92295781111
318 days,10870.995363357317,8351.139306109335
319 days,10760.164964895386,8314.377737122646
320 days,10706.571280211409,8289.339434249745
321 days,10973.921670696674,8405.082060966624
322 days,10849.016076409553,8305.577684707305
323 days,10806.696715244769,8253.929521491747
324 days,10776.623946767055,8261.491322977385
325 days,10878.340772712145,8312.151694571376
326 days,10886.224217973559,8363.346598343807
327 days,10932.950130923895,8433.5753057727
328 days,10863.013741751427,8385.712076262236
329 days,10684.757529179296,8283.389228871558
330 days,10616.527712336254,8272.935108559615
331 days,10573.108146540431,8226.723326576042
332 days,10505.321102080428,8192.462949238125
333 days,10426.318802578578,8133.197791442548
334 days,10342.489855819505,8067.312496084493
335 days,10503.395819310017,8155.017995661648
336 days,10492.693276534079,8163.906245298493
337 days,10483.952879870483,8172.612664808913
338 days,10492.6292456094,8202.145441974253
339 days,10644.202020562392,8264.38187364879
340 days,10786.829933572735,8391.010682331082
341 days,10839.913459542864,8442.197952565239
342 days,10900.406701099055,8490.284867076554
343 days,10805.213640008235,8476.591485614235
344 days,10614.917871885233,8394.948723410578
345 days,10520.483104936451,8338.628888093941
346 days,10550.23052268261,8376.248147973802
347 days,10491.830519550444,8317.107838915314
348 days,10484.161398990049,8293.40421494497
349 days,10428.683822501354,8194.658617657997
350 days,10349.45276996218,8095.241665392672
351 days,10250.037109914765,8005.2669053898935
352 days,10192.185896255838,7959.888771331431
353 days,10238.910992050965,7994.458764070643
354 days,10283.730588323846,8069.4799882452535
355 days,10270.183928602284,8065.858846956159
356 days,10259.215028668674,8057.542680842762
357 days,10231.757693499221,8040.130762686511
358 days,10005.263509848068,7922.0531395918415
359 days,10298.206157398803,8102.9582486407235
360 days,10306.425381319803,8119.952757265967
361 days,10214.045116977464,8070.19559557744
362 days,10211.318377604315,8074.374991369434
363 days,10215.535175378442,8059.883885036004
364 days,10286.40449649485,8086.859253560466
365 days,10482.240238630658,8151.845055756627
