changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,daily_seasonality,weekly_seasonality,yearly_seasonality,rmse
0.005,0.01,additive,True,False,True,2730.65073939336
0.005,0.1,additive,True,True,True,2734.300787269981
0.1,0.5,multiplicative,False,False,True,2735.1263162333435
0.005,10.0,additive,True,False,True,2742.411318113652
0.1,10.0,multiplicative,False,False,True,2743.18827755168
0.5,0.05,multiplicative,True,False,True,2745.8700437596317
0.005,1.0,additive,True,False,True,2746.0940399117003
0.005,0.01,additive,False,True,True,2746.4583075094647
0.1,5.0,multiplicative,False,False,True,2749.1609000664585
0.005,0.01,additive,False,False,True,2750.3052222229217
0.005,5.0,additive,True,False,True,2752.2512930378766
0.005,10.0,additive,False,True,True,2755.7634021155604
0.005,0.5,additive,True,False,True,2756.183197474492
0.005,0.5,additive,True,True,True,2756.425791171819
0.005,0.05,additive,False,False,True,2757.119747001174
0.005,0.05,additive,True,True,True,2757.9291231497564
0.005,10.0,additive,False,False,True,2758.4442778460198
0.005,0.1,additive,False,False,True,2763.0576294983334
0.005,5.0,additive,False,True,True,2765.0564816612173
0.005,0.5,additive,False,True,True,2767.330816405846
0.005,0.5,additive,False,False,True,2767.7301437478445
0.005,0.1,additive,False,True,True,2768.1007025416884
0.005,1.0,additive,True,True,True,2770.6449409550714
0.005,10.0,additive,True,True,True,2770.880688180134
0.005,1.0,additive,False,False,True,2772.0232428746076
0.005,5.0,additive,False,False,True,2772.7533642684025
0.001,0.05,additive,True,True,False,2773.5608589454446
0.1,1.0,multiplicative,False,False,True,2774.8582794905974
0.5,0.05,multiplicative,True,True,True,2777.970107399873
0.005,0.05,additive,False,True,True,2782.645892374137
0.005,1.0,additive,False,True,True,2785.0538692803166
0.005,5.0,additive,True,True,True,2785.6560225103885
0.01,0.1,multiplicative,False,True,True,2816.034210391327
0.01,0.05,multiplicative,True,False,True,2818.7652627883085
0.01,0.1,multiplicative,True,False,True,2827.15518976598
0.01,0.05,multiplicative,True,True,True,2830.5750606757792
0.01,0.1,multiplicative,False,False,True,2833.53113339712
0.001,0.05,additive,True,False,False,2833.8102265497555
0.01,0.5,multiplicative,False,False,True,2835.754877196564
0.001,10.0,additive,True,False,False,2837.726806808091
0.1,1.0,multiplicative,False,True,True,2838.604137510231
0.01,5.0,multiplicative,True,True,True,2839.653410125104
0.005,0.05,multiplicative,False,True,True,2846.141076915107
0.001,0.5,additive,True,False,False,2850.8018016916744
0.01,5.0,multiplicative,False,False,True,2850.8036720785212
0.005,0.05,multiplicative,False,False,True,2852.7943609500694
0.005,5.0,multiplicative,False,False,True,2856.2297317172083
0.005,0.5,multiplicative,False,False,True,2859.881224077498
0.001,0.1,additive,True,True,False,2860.2808311696667
0.01,10.0,multiplicative,False,False,True,2865.419296459202
0.001,1.0,additive,False,False,False,2869.0644456757927
0.001,10.0,additive,False,False,False,2869.0644456757927
0.001,5.0,additive,False,False,False,2869.0644456757927
0.001,0.5,additive,False,False,False,2869.0644456757927
0.001,0.1,additive,False,False,False,2869.0644456757927
0.001,0.01,additive,False,False,False,2869.0644456757927
0.001,0.05,additive,False,False,False,2869.0644456757927
0.001,10.0,additive,True,True,False,2869.471366890441
0.005,1.0,multiplicative,False,False,True,2883.0267829041245
0.005,0.05,multiplicative,True,False,True,2886.111583516099
0.001,0.5,additive,True,True,False,2893.720966447018
